Seminář z astronomie, Kříček Radek, Po, 9:50, 12:20, P
Automaty a gramatiky, Vomlelová Marta, Po, 14:00, 15:40, P
Numerická matematika, Pozza Stefano, Út, 9:00, 10:40, P
Diskrétní a spojitá optimalizace, Loebl Martin, Út, 10:40, 12:20, Cv
Automaty a gramatiky, Vomlelová Marta, St, 10:40, 12:20, Cv
Diskrétní a spojitá optimalizace, Loebl Martin, St, 14:00, 15:40, P
Matematická kryptografie a kryptoanalýza II, Bartová Veronika, Čt, 12:20, 14:00, P
Numerická matematika, Pozza Stefano, Pá, 10:40, 12:20, Cv
