Kombinatorika a grafy II, Hubička Jan, Po, 10:40, 12:20, P
Neprocedurální programování," Dvořák Tomáš, Hric Jan", Po, 12:20, 14:00, P
Lineární programování a kombinatorická optimalizace, Balko Martin, Po, 14:00, 15:40, Cv
Anglický jazyk, Krejčová Ela, Po, 16:30, 18:10, Cv
Matematická analýza III, Klazar Martin, Út, 9:00, 10:40, Cv
Matematická analýza III, Klazar Martin, Út, 10:40, 12:20, P
Cvičení z teorie množin, Kynčl Jan, Út, 12:20, 14:00, Cv
Aplikovaná kryptografie, Töpfer Jakub, Út, 16:30, 18:10, P
Aplikovaná kryptografie, Töpfer Jakub, Út, 18:10, 18:50, Cv
Kombinatorika a grafy II, Soukup Jan, St, 17:20, 18:50, Cv
Úvod do kryptografie, Mareš Martin, Čt, 9:00, 10:40, P
Teorie množin, Žemlička Jan, Čt, 10:40, 12:20, P
Pravděpodobnost a statistika 1, Šámal Robert, Čt, 14:00, 15:40, P
Pravděpodobnost a statistika 1, Šámal Robert, Čt, 15:40, 17:20, Cv
Úvod do kryptografie, Středa Adolf, Čt, 17:20, 18:50, Cv
Lineární programování a kombinatorická optimalizace, Loebl Martin, Pá, 9:00, 10:40, P
Neprocedurální programování, Hric Jan, Pá, 12:20, 14:00, Cv
